DescontoIR__c;DescricaoCarencia__c;DescricaoEmissor__c;DescricaoProduto__c;DiasVencimento__c;FiltroValorMinimo__c;RiscoAtivo__c;TaxaEmissao__c;TaxaPreEmissao__c;TipoIndexador__c
15.0;No venc.;BANCO BS2 S.A.;CDB POS;1081.0;1000.0;2.0;125.0;0.0;CDI
15.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;721.0;5000.0;4.0;122.0;0.0;CDI
15.0;No venc.;BANCO ALFA S/A;CDB POS;721.0;5000.0;2.0;103.25;0.0;CDI
15.0;No venc.;BANCO ALFA S/A;CDB POS;1081.0;5000.0;3.0;104.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB PRE;721.0;5000.0;3.0;0.0;06.02;Pré fixado
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;731.0;1000.0;5.0;100.0;1.6;IPCA
15.0;No venc.;BANCO BS2 S.A.;CDB POS;721.0;1000.0;2.0;123.0;0.0;CDI
15.0;No venc.;BANCO ABC BRASIL;LCA PRE;1081.0;10000.0;2.0;0.0;5.5;Pré fixado
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;367.0;1000.0;5.0;100.0;0.8;IPCA
20.0;No venc.;BANCO BMG S.A.;CDB POS 1;181.0;1000.0;2.0;108.0;0.0;CDI
17.5;No venc.;BANCO BMG S.A.;CDB POS 1;361.0;1000.0;2.0;113.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;721.0;1000.0;2.0;117.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1081.0;1000.0;3.0;119.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1440.0;1000.0;4.0;121.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1802.0;1000.0;4.0;122.0;0.0;CDI
22.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;90.0;1000.0;1.0;96.0;0.0;CDI
22.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;180.0;1000.0;1.0;96.0;0.0;CDI
20.0;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;360.0;1000.0;1.0;96.0;0.0;CDI
17.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;542.0;1000.0;2.0;97.0;0.0;CDI
17.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;720.0;1000.0;2.0;98.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1096.0;1000.0;5.0;100.0;2.4;IPCA
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1827.0;1000.0;5.0;100.0;3.5;IPCA
22.5;No venc.;BANCO INDUSVAL S.A.;CDB POS;90.0;5000.0;3.0;111.0;0.0;CDI
17.5;No venc.;BANCO INDUSVAL S.A.;CDB POS;361.0;5000.0;3.0;118.0;0.0;CDI
22.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;90.0;1000.0;5.0;110.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1081.0;1000.0;5.0;132.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1440.0;1000.0;5.0;133.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1802.0;1000.0;5.0;134.0;0.0;CDI
17.5;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;361.0;1000.0;5.0;0.0;6.5;Pré fixado
22.5;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;180.0;1000.0;5.0;0.0;5.0;Pré fixado
15.0;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;721.0;1000.0;5.0;0.0;7.25;Pré fixado
15.0;Qualquer dia;BANCO INDUSVAL S.A.;CDB POS;721.0;5000.0;3.0;105.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1096.0;5000.0;3.0;100.0;3.37;IPCA
17.5;A partir de 91 dias;POUPEX ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO;LCI POS;367.0;1000.0;2.0;94.0;0.0;CDI
15.0;No venc.;BANCO ALFA S/A;CDB POS;1440.0;5000.0;3.0;104.5;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;721.0;5000.0;2.0;118.0;0.0;CDI
20.0;No venc.;BANCO BS2 S.A.;CDB POS;181.0;1000.0;2.0;110.0;0.0;CDI
17.5;No venc.;BANCO BS2 S.A.;CDB POS;361.0;1000.0;2.0;112.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB PRE;1081.0;5000.0;3.0;0.0;07.09;Pré fixado
15.0;No venc.;BANCO BMG S.A.;CDB PRE 1;1081.0;1000.0;3.0;0.0;6.79;Pré fixado
15.0;No venc.;BANCO BMG S.A.;CDB PRE 1;721.0;5000.0;2.0;0.0;06.06;Pré fixado
20.0;No venc.;BANCO DAYCOVAL;CDB POS;181.0;20000.0;1.0;104.0;0.0;CDI
17.5;No venc.;BANCO DAYCOVAL;CDB POS;361.0;20000.0;1.0;105.0;0.0;CDI
15.0;No venc.;BANCO DAYCOVAL;CDB POS;1081.0;20000.0;2.0;105.0;0.0;CDI
15.0;No venc.;BANCO DAYCOVAL;CDB POS;721.0;20000.0;2.0;105.0;0.0;CDI
22.5;No venc.;BANCO PAN S.A.;CDB POS;90.0;5000.0;2.0;104.0;0.0;CDI
20.0;No venc.;BANCO PAN S.A.;CDB POS;181.0;5000.0;2.0;105.0;0.0;CDI
17.5;No venc.;BANCO PAN S.A.;CDB POS;361.0;5000.0;2.0;108.0;0.0;CDI
15.0;No venc.;BANCO PAN S.A.;CDB POS;721.0;5000.0;2.0;114.0;0.0;CDI
15.0;No venc.;BANCO PAN S.A.;CDB POS;1081.0;5000.0;3.0;117.0;0.0;CDI
15.0;No venc.;BANCO FATOR S.A.;CDB PRE;721.0;10000.0;0.0;0.0;5.4;Pré fixado
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;731.0;10000.0;3.0;120.0;0.0;CDI
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;914.0;10000.0;3.0;120.0;0.0;CDI
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;1096.0;10000.0;3.0;120.5;0.0;CDI
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;1461.0;10000.0;3.0;121.0;0.0;CDI
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;1826.0;10000.0;4.0;122.0;0.0;CDI
22.5;No venc.;BANCO FIBRA S.A.;LCA POS;122.0;10000.0;2.0;98.0;0.0;CDI
20.0;No venc.;BANCO FIBRA S.A.;LCA POS;210.0;10000.0;2.0;99.0;0.0;CDI
17.5;No venc.;BANCO FATOR S.A.;CDB PRE;361.0;10000.0;0.0;0.0;4.4;Pré fixado
17.5;No venc.;BANCO PINE S.A.;CDB PRE;361.0;5000.0;2.0;0.0;4.57;Pré fixado
15.0;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;2520.0;1000.0;5.0;0.0;10.0;Pré fixado
17.5;No venc.;CARUANA S.A.;LC PRE;367.0;1000.0;2.0;0.0;5.25;Pré fixado
17.5;No venc.;CARUANA S.A.;LC PRE;549.0;1000.0;2.0;0.0;5.65;Pré fixado
20.0;No venc.;CARUANA S.A.;LC PRE;185.0;1000.0;2.0;0.0;4.75;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;731.0;1000.0;2.0;0.0;6.1;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;913.0;1000.0;2.0;0.0;6.45;Pré fixado
15.0;No venc.;BANCO ORIGINAL S.A;CDB POS;721.0;5000.0;2.0;118.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC PRE;1460.0;1000.0;3.0;0.0;7.35;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;1825.0;1000.0;3.0;0.0;7.75;Pré fixado
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;361.0;1000.0;5.0;100.0;2.0;
17.5;No venc.;BANCO GMAC S.A.;CDB POS;361.0;1000.0;1.0;104.0;0.0;CDI
15.0;No venc.;BANCO GMAC S.A.;CDB POS;721.0;1000.0;1.0;105.0;0.0;CDI
15.0;No venc.;BANCO GMAC S.A.;CDB POS;1081.0;1000.0;2.0;106.0;0.0;CDI
22.5;No venc.;BANCO BS2 S.A.;CDB POS 1;90.0;1000.0;2.0;108.0;0.0;CDI
20.0;No venc.;BANCO ORIGINAL S.A;LCA POS;360.0;5000.0;2.0;99.0;0.0;CDI
22.5;No venc.;BANCO ORIGINAL S.A;LCA POS;101.0;5000.0;2.0;96.0;0.0;CDI
17.5;No venc.;BANCO FIBRA S.A.;LCA POS;367.0;10000.0;3.0;100.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1081.0;5000.0;3.0;127.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1440.0;5000.0;3.0;127.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1802.0;5000.0;4.0;127.0;0.0;CDI
17.5;No venc.;BANCO ABC BRASIL;LCA PRE;720.0;10000.0;2.0;0.0;4.95;Pré fixado
17.5;No venc.;BANCO AGIBANK S.A.;CDB POS;361.0;1000.0;2.0;114.0;0.0;CDI
20.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCA POS;181.0;1000.0;1.0;86.0;0.0;CDI
20.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;181.0;5000.0;3.0;115.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;721.0;1000.0;5.0;100.0;2.25;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1081.0;1000.0;5.0;100.0;2.5;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1440.0;1000.0;5.0;100.0;3.0;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1802.0;1000.0;5.0;100.0;4.0;
22.5;No venc.;BANCO RODOBENS S.A.;LCI POS;90.0;10000.0;1.0;98.0;0.0;CDI
17.5;No venc.;FACTA FINANCEIRA S.A;LC POS;361.0;5000.0;5.0;128.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;721.0;5000.0;5.0;130.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1081.0;5000.0;5.0;132.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1440.0;5000.0;5.0;134.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1802.0;5000.0;5.0;136.0;0.0;CDI
15.0;No venc.;BANCO BS2 S.A.;CDB POS;1081.0;1000.0;3.0;100.0;1.25;
20.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;181.0;1000.0;5.0;127.0;0.0;CDI
17.5;No venc.;BANCO TOPAZIO S/A;CDB POS;361.0;1000.0;2.0;124.0;0.0;CDI
15.0;No venc.;BANCO TOPAZIO S/A;CDB POS;721.0;1000.0;3.0;129.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS;721.0;1000.0;5.0;100.0;0.0;CDI
15.0;No venc.;SANTANA FINANCEIRA SA;LC POS;721.0;5000.0;5.0;130.0;0.0;CDI
15.0;No venc.;SANTANA FINANCEIRA SA;LC POS;1081.0;5000.0;5.0;132.0;0.0;CDI
17.5;No venc.;SOROCRED S/A;LC POS;361.0;1000.0;5.0;123.0;0.0;CDI
15.0;No venc.;SOROCRED S/A;LC POS;721.0;1000.0;5.0;131.0;0.0;CDI
20.0;No venc.;BANCO BOCOM BBM S/A;CDB POS;181.0;10000.0;2.0;106.0;0.0;CDI
17.5;No venc.;BANCO BOCOM BBM S/A;CDB POS;361.0;10000.0;2.0;108.0;0.0;CDI
20.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;185.0;10000.0;1.0;98.0;0.0;CDI
17.5;No venc.;BANCO BOCOM BBM S/A;LCA POS;364.0;10000.0;2.0;100.0;0.0;CDI
15.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;731.0;10000.0;2.0;101.0;0.0;CDI
15.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;1081.0;10000.0;2.0;102.0;0.0;CDI
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1081.0;1000.0;3.0;100.0;1.42;
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1442.0;1000.0;3.0;100.0;1.59;
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;361.0;1000.0;5.0;140.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;721.0;1000.0;5.0;140.0;0.0;CDI
17.5;No venc.;AGORACRED S.A.;LC POS;361.0;10000.0;5.0;114.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;721.0;10000.0;5.0;127.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;1081.0;10000.0;5.0;130.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;1440.0;10000.0;5.0;131.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;1802.0;10000.0;5.0;132.0;0.0;CDI
17.5;No venc.;BANCO C6 S.A.;CDB POS;361.0;1000.0;3.0;116.0;0.0;CDI
15.0;No venc.;BANCO C6 S.A.;CDB POS;721.0;1000.0;4.0;123.0;0.0;CDI
15.0;No venc.;BANCO C6 S.A.;CDB POS;1081.0;1000.0;4.0;126.0;0.0;CDI
15.0;No venc.;BANCO C6 S.A.;CDB POS;1440.0;1000.0;4.0;128.0;0.0;CDI
15.0;No venc.;BANCO C6 S.A.;CDB POS;1802.0;1000.0;4.0;129.0;0.0;CDI
15.0;No venc.;BANCO ABC BRASIL;LCA PRE;1460.0;10000.0;3.0;0.0;5.9;Pré fixado
15.0;No venc.;BANCO BMG S.A.;CDB PRE 1;1440.0;1000.0;4.0;0.0;7.36;Pré fixado
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;721.0;1000.0;2.0;125.0;0.0;CDI
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1081.0;1000.0;3.0;128.0;0.0;CDI
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1440.0;1000.0;3.0;129.0;0.0;CDI
20.0;No venc.;BANCO PINE S.A.;LCA POS 1;300.0;1000.0;2.0;104.0;0.0;CDI
20.0;No venc.;OMNI BANCO S.A;CDB POS;181.0;10000.0;2.0;109.0;0.0;CDI
17.5;No venc.;OMNI BANCO S.A;CDB POS;361.0;10000.0;2.0;121.0;0.0;CDI
15.0;No venc.;OMNI BANCO S.A;CDB POS;721.0;10000.0;2.0;124.0;0.0;CDI
15.0;No venc.;OMNI BANCO S.A;CDB POS;1081.0;10000.0;2.0;126.0;0.0;CDI
15.0;No venc.;OMNI BANCO S.A;CDB POS;1440.0;10000.0;3.0;128.0;0.0;CDI
15.0;No venc.;OMNI BANCO S.A;CDB POS;1802.0;10000.0;3.0;128.0;0.0;CDI
17.5;No venc.;BANCO RODOBENS S.A.;CDB POS;361.0;10000.0;1.0;117.0;0.0;CDI
15.0;No venc.;BANCO RODOBENS S.A.;CDB POS;721.0;10000.0;2.0;119.0;0.0;CDI
15.0;No venc.;BANCO RODOBENS S.A.;CDB POS;1081.0;10000.0;2.0;120.0;0.0;CDI
15.0;No venc.;BANCO RODOBENS S.A.;CDB POS;1440.0;10000.0;3.0;121.0;0.0;CDI
15.0;No venc.;BANCO RODOBENS S.A.;CDB POS;1802.0;10000.0;3.0;122.0;0.0;CDI
17.5;No venc.;BANCO RENNER S.A;CDB POS 1;361.0;10000.0;3.0;112.0;0.0;CDI
15.0;No venc.;BANCO RENNER S.A;CDB POS 1;721.0;10000.0;4.0;121.0;0.0;CDI
15.0;No venc.;BANCO RENNER S.A;CDB POS 1;1081.0;10000.0;4.0;124.0;0.0;CDI
15.0;No venc.;BANCO RENNER S.A;CDB POS 1;1440.0;10000.0;4.0;125.0;0.0;CDI
15.0;No venc.;BANCO RENNER S.A;CDB POS 1;1802.0;10000.0;5.0;125.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1440.0;1000.0;4.0;100.0;1.22;
22.5;No venc.;BANCO ABC BRASIL;LCA POS;90.0;10000.0;1.0;97.0;0.0;CDI
22.5;No venc.;BANCO ABC BRASIL;LCA POS;122.0;10000.0;1.0;98.0;0.0;CDI
22.5;No venc.;BANCO ABC BRASIL;LCA POS;180.0;10000.0;1.0;100.0;0.0;CDI
20.0;No venc.;BANCO ABC BRASIL;LCA POS;360.0;10000.0;1.0;100.0;0.0;CDI
17.5;No venc.;BANCO ABC BRASIL;LCA POS;542.0;10000.0;2.0;100.0;0.0;CDI
17.5;No venc.;BANCO ABC BRASIL;LCA POS;720.0;10000.0;2.0;101.0;0.0;CDI
15.0;No venc.;BANCO ABC BRASIL;LCA POS;1081.0;10000.0;2.0;102.0;0.0;CDI
15.0;No venc.;BANCO ABC BRASIL;LCA POS;1460.0;10000.0;2.0;102.5;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB PRE;1440.0;5000.0;4.0;0.0;7.37;Pré fixado
15.0;No venc.;BANCO PINE S.A.;CDB POS;1827.0;5000.0;5.0;100.0;3.85;IPCA
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1802.0;1000.0;4.0;100.0;1.33;
15.0;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;1081.0;1000.0;2.0;98.0;0.0;CDI
15.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;1081.0;5000.0;4.0;123.0;0.0;CDI
15.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;1440.0;5000.0;5.0;124.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;2160.0;1000.0;5.0;0.0;10.0;Pré fixado
15.0;No venc.;BANCO BMG S.A.;CDB PRE 1;1802.0;1000.0;4.0;0.0;7.64;Pré fixado
15.0;No venc.;BDMG S.A.;LCA POS;731.0;10000.0;3.0;97.0;0.0;CDI
15.0;No venc.;BDMG S.A.;LCA POS;1095.0;10000.0;3.0;99.0;0.0;CDI
17.5;No venc.;PORTOCRED FINANCEIRA SA;LC POS;361.0;1000.0;5.0;131.0;0.0;CDI
15.0;No venc.;PORTOCRED FINANCEIRA SA;LC POS;721.0;1000.0;5.0;132.0;0.0;CDI
15.0;No venc.;PORTOCRED FINANCEIRA SA;LC POS;1081.0;1000.0;5.0;133.0;0.0;CDI
20.0;No venc.;BANCO ALFA S/A;LCA POS;301.0;10000.0;3.0;100.0;0.0;CDI
15.0;No venc.;OMNI BANCO S.A;CDB PRE;1081.0;10000.0;3.0;0.0;07.06;Pré fixado
22.5;No venc.;BANCO CAIXA GERAL BRASIL S/A;LCA POS;179.0;10000.0;2.0;96.0;0.0;CDI
15.0;No venc.;PORTOCRED FINANCEIRA SA;LC PRE;721.0;1000.0;5.0;0.0;6.43;Pré fixado
15.0;No venc.;PORTOCRED FINANCEIRA SA;LC PRE;1081.0;1000.0;5.0;0.0;07.05;Pré fixado
15.0;No venc.;BANCO DAYCOVAL;CDB PRE;2160.0;20000.0;0.0;0.0;6.59;Pré fixado
17.5;No venc.;AVISTA S.A.;LC POS;361.0;5000.0;5.0;116.0;0.0;CDI
15.0;No venc.;AVISTA S.A.;LC POS;721.0;5000.0;5.0;120.0;0.0;CDI
15.0;No venc.;AVISTA S.A.;LC POS;1081.0;5000.0;5.0;121.0;0.0;CDI
15.0;No venc.;AVISTA S.A.;LC POS;1440.0;5000.0;5.0;122.0;0.0;CDI
15.0;No venc.;AVISTA S.A.;LC POS;1802.0;5000.0;5.0;124.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1104.0;1000.0;3.0;100.0;3.18;IPCA
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1469.0;1000.0;4.0;100.0;3.72;IPCA
17.5;No venc.;OMNI BANCO S.A;CDB PRE;361.0;10000.0;2.0;0.0;5.46;Pré fixado
15.0;No venc.;OMNI BANCO S.A;CDB PRE;721.0;10000.0;3.0;0.0;6.44;Pré fixado
15.0;No venc.;OMNI BANCO S.A;CDB PRE;1081.0;10000.0;3.0;0.0;7.21;Pré fixado
15.0;No venc.;OMNI BANCO S.A;CDB PRE;1440.0;10000.0;4.0;0.0;7.73;Pré fixado
15.0;No venc.;BANCO RENNER S.A;CDB PRE 1;1081.0;5000.0;4.0;0.0;6.89;Pré fixado
15.0;No venc.;OMNI BANCO S.A;CDB PRE;1802.0;10000.0;4.0;0.0;08.03;Pré fixado
15.0;No venc.;BANCO RENNER S.A;CDB PRE 1;1440.0;5000.0;0.0;0.0;7.4;Pré fixado
15.0;No venc.;BANCO RENNER S.A;CDB PRE 1;1802.0;5000.0;0.0;0.0;7.68;Pré fixado
20.0;No venc.;BANCO PINE S.A.;CDB POS;181.0;5000.0;2.0;106.0;0.0;CDI
17.5;No venc.;BANCO PINE S.A.;CDB POS;361.0;5000.0;2.0;111.0;0.0;CDI
20.0;No venc.;BANCO FATOR S.A.;CDB POS;181.0;10000.0;2.0;102.0;0.0;CDI
17.5;No venc.;BANCO FATOR S.A.;CDB POS;362.0;10000.0;2.0;105.0;0.0;CDI
15.0;No venc.;BANCO FATOR S.A.;CDB POS;721.0;10000.0;3.0;110.0;0.0;CDI
15.0;No venc.;BANCO FATOR S.A.;CDB POS;1081.0;10000.0;3.0;112.0;0.0;CDI
15.0;Qualquer dia;BANCO CAIXA GERAL BRASIL S/A;CDB POS;721.0;10000.0;1.0;95.0;0.0;CDI
20.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;181.0;10000.0;1.0;104.0;0.0;CDI
17.5;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;361.0;10000.0;1.0;107.5;0.0;CDI
15.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;721.0;10000.0;2.0;110.5;0.0;CDI
15.0;No venc.;BANCO CAIXA GERAL BRASIL S/A;CDB POS;1081.0;10000.0;2.0;110.5;0.0;CDI
17.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;361.0;1000.0;1.0;95.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;721.0;1000.0;1.0;96.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;CDB POS;1081.0;1000.0;2.0;97.0;0.0;CDI
17.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCI POS;361.0;5000.0;1.0;89.0;0.0;CDI
15.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCI POS;721.0;5000.0;1.0;92.0;0.0;CDI
15.0;No venc.;BANCO MODAL S.A;CDB POS;1096.0;10000.0;2.0;116.25;0.0;CDI
20.0;No venc.;BANCO MODAL S.A;CDB POS;181.0;10000.0;2.0;106.0;0.0;CDI
15.0;No venc.;BANCO MODAL S.A;CDB POS;731.0;10000.0;2.0;116.0;0.0;CDI
17.5;No venc.;BANCO MODAL S.A;CDB POS;367.0;10000.0;2.0;111.0;0.0;CDI
22.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCA POS;115.0;5000.0;1.0;86.0;0.0;CDI
15.0;Qualquer dia;BANCO AGIBANK S.A.;CDB POS;721.0;1000.0;2.0;97.0;0.0;CDI
22.5;No venc.;BANCO AGIBANK S.A.;CDB POS;146.0;1000.0;2.0;104.0;0.0;CDI
20.0;No venc.;CARUANA S.A.;LC POS;181.0;1000.0;2.0;108.0;0.0;CDI
17.5;No venc.;CARUANA S.A.;LC POS;367.0;1000.0;2.0;114.0;0.0;CDI
17.5;No venc.;CARUANA S.A.;LC POS;549.0;1000.0;2.0;115.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;731.0;1000.0;2.0;116.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;913.0;1000.0;2.0;116.5;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1095.0;1000.0;2.0;117.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1460.0;1000.0;2.0;118.5;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1825.0;1000.0;3.0;119.5;0.0;CDI
20.0;No venc.;PARANA BANCO S.A.;CDB POS;181.0;1000.0;1.0;103.0;0.0;CDI
17.5;No venc.;PARANA BANCO S.A.;CDB POS;361.0;1000.0;1.0;104.5;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;721.0;1000.0;2.0;106.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1081.0;1000.0;2.0;107.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1440.0;1000.0;3.0;109.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1802.0;1000.0;3.0;110.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC PRE;1095.0;1000.0;3.0;0.0;6.8;Pré fixado
