DescricaoTaxaPerformance__c;DescricaoTributacao__c;FamiliaCarteira__c;FiltroValorMinimo__c;ProdutoId;LucroMesAnterior__c;PatrimonioLiquidoAtual__c;RentabilidadeAno__c;RentabilidadeFundoUltimos36Meses__c;RentabilidadeMes__c;RiscoAtivo__c;TipoCarteira__c
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWQPsEAP;32.880.815.056;317210377.98;32.902.914.921;0.0;5.153.789;5.0;FIC de Fundo Multimercado
20% sobre o que exceder 100% do índice IPCA + YIELD IMA-B;15%;Renda Variável;10000.0;a0W3u00000CWQQ2EAP;-1.836.681.132;111585179.39;-1.788.131.686;0.0;5.947.268;5.0;FIC de Fundo de Ações
20% sobre o que exceder 100% do índice IDIV;15%;Renda Variável;500.0;a0W3u00000CWQQMEA5;700.287.251;21221354.31;889.932.753;0.0;177.234.029;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000CWQcGEAX;777.611.849;173449559.88;-240.738.223;7.946.881.856;-240.738.223;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A000005fMbsUAE;-27.883.538;886488585.48;58.574.465;17.673.444.347;347.087.882;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;30.0;a0W6A000008FwYQUA0;29.482.476;2391719.1;38.427.984;3.407.720.449;8.919.212;3.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009GZVHUA4;672.689.556;0.0;590.234.825;4.381.325.326;-77.257.687;4.0;FIC de Fundo Cambial
Não;Come Cotas;Renda Fixa;30.0;a0W6A000009GZdgUAG;37.292.278;251861131.21;42.399.821;0.0;5.088.567;1.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;100.0;a0W6A000009GbXIUA0;17.999.931;20396795.56;24.260.029;0.0;6.248.851;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A000009IJadUAG;-24.755.851;42482798.27;7.624.631;0.0;32.460.841;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;30.0;a0W6A000009IJjgUAG;36.634.856;18636675.81;42.627.543;0.0;5.970.813;3.0;FIC de Fundo de Renda Fixa
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009Ky7bUAC;117.637.545;6541966.54;112.947.192;0.0;-4.635.818;4.0;FIC de Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;100.0;a0W6A000009KycOUAS;46.721.719;2846701.36;58.563.298;0.0;1.178.651;4.0;FIC de Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;30.0;a0W6A000009L0FgUAK;-1.328.571;1799612.76;28.042.024;0.0;29.374.498;4.0;Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009R6mvUAC;86.006.479;652820544.5;144.783.137;0.0;58.275.451;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009agwtUAA;59.634.587;0.0;86.805.228;3.074.847.556;27.009.571;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009ai38UAA;37.941.235;0.0;43.812.035;239.527.277;584.861;2.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;3000.0;a0W6A000009lsp4UAA;37.811.605;3647834120.25;42.789.089;2.289.058.569;4.958.734;2.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009luG5UAI;39.462.440.000.000.000;39158425.6;54.144.033;2.429.718.754;14.623.884;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009luOMUAY;25.018.421;111064106.84;26.044.187;2.138.394.114;1.023.206;3.0;Fundo Multimercado
Não;15%;Renda Variável;5000.0;a0W6A000009luUVUAY;82.567.928;95687719.46;275.868.958;7.598.640.653;191.718.053;5.0;FIC de Fundo de Ações
Não;15%;Renda Variável;5000.0;a0W6A000009n2phUAA;20.317.863.000.000.000;2032557390.86;428.437.644;11.701.536.414;220.773.371;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009n349UAA;64.952.968;1437665230.19;105.215.478;377.500.277;40.002.681;4.0;Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009n5KwUAI;60.419.293;140189006.48;66.993.121;0.0;6.534.348;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 104% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009n5OtUAI;41.119.102;702039402.1;44.052.209;0.0;2.921.096;4.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009y4V6UAI;3.464.158;478406182.03;39.999.924;2.354.368.339;5.339.847;3.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W6A000009zAsiUAE;43.029.015;589228657.69;50.446.716;2.329.063.097;738.592;3.0;Fundo de Renda Fixa
Não;15%;Renda Variável;100.0;a0W6A000009zEPVUA2;-28.166.703;15743824.63;89.192.413;11.025.030.425;117.690.612;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A00000A1UvkUAF;-560.237;181577960.75;44.708.672;0.0;45.271.445;5.0;Fundo Multimercado
Não;15%;Renda Variável;2500.0;a0W6A00000A1YLYUA3;20.610.206;31132979.86;520.354.681;14.390.844.873;307.906.603;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A1aGIUAZ;3.567.125;122321741.57;18.853.465;2.300.411.484;15.280.889;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3isbUAB;34.207.806;886542873.25;28.657.502;2.520.707.206;-5.531.382;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 108% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3mRRUAZ;48.197.752;325410644.74;46.699.057;2.433.480.245;-1.491.507;4.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMAB-5;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3mveUAB;43.474.356;142319911.62;63.513.256;4.016.005.972;19.952.160.000.000.000;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A00000A4sdBUAR;171.824.162;637377084.74;387.163.908;13.532.493.337;211.702.191;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A4zhSUAR;18.662.271;1847606624.72;68.841.827;3.601.762.049;50.086.084;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AAHO5UAP;20.146.562;278489625.3;42.931.066;2.774.231.754;22.738.694;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W6A00000AAMe0UAH;93.639.081;458157363.84;318.017.629;10.265.666.113;22.229.697.999.999.900;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;Come Cotas;Renda Fixa;5000.0;a0W6A00000AANjjUAH;151.637.855;243014868.18;346.185.938;7.911.136.438;191.642.064;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX-100;15%;Renda Variável;1000.0;a0W6A00000AAQQtUAP;27.141.827;726841807.42;241.315.741;-1.447.079.806;21.359.418;5.0;FIC de Fundo de Ações
15% sobre o que exceder a 100% do IPCA + 6%;15%;Renda Variável;1000.0;a0W6A00000AAQilUAH;62.507.006;600474726.36;262.845.325;13.129.830.619;199.093.843;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;Come Cotas;Renda Fixa;5000.0;a0W6A00000ABccwUAD;331.896.173;185872878.07;525.256.547;0.0;187.148.972;5.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000ABdmuUAD;-148.201.316;186468916.84;-91.264.678;443.605.745;5.779.314;5.0;Fundo Multimercado
Não;Come Cotas;Renda Fixa;5000.0;a0W6A00000AF4cZUAT;4.067.465;594688114.83;46.189.406;2.474.528.245;5.492.415;3.0;FIC de Fundo de Renda Fixa
15% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AF4lSUAT;57.609.657;296455366.56;63.834.641;2.683.737.923;6.189.328;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A00000AF661UAD;42.672.509;866225237.73;47.037.583;0.0;4.346.527;4.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A00000AGBucUAH;43.419.678;2538467260.42;47.427.497;0.0;3.990.493;3.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A00000AGCMzUAP;52.327.345;360587873.82;54.002.244;0.0;166.618;4.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W6A00000AGGmZUAX;-69.794.605;99320804.04;-74.888.942;2.563.881.872;-5.130.142;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W6A00000AGH88UAH;-222.928.075;16117615.19;-57.615.535;7.849.374.886;16.908.185.000.000.000;5.0;Fundo de Ações
Não;15%;Renda Variável;500.0;a0W6A00000AGHKQUA5;-25.253.963;788207526.29;178.272.658;10.205.898.389;204.041.908;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W6A00000AGHUKUA5;116.291.378;40071120.01;118.794.648;2.244.055.579;2.474.494;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A00000AGHfEUAX;-156.208.575;105685787.12;-11.185.232;8.730.931.666;147.324.681;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AGHzdUAH;-19.987.517;53870669.18;17.600.399;2.363.393.424;37.663.195;4.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A00000AGIIwUAP;-86.144.277;16594092.2;-80.837.964;2.322.450.267;5.352.421;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do IMA-B;Come Cotas;Renda Fixa;1000.0;a0W6A00000AHOpNUAX;81.536.968;203450999.11;96.730.197;0.0;15.070.350.000.000.000;4.0;Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W6A00000AHOqGUAX;41.688.477;2305862121.14;45.320.947;0.0;361.739;3.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W6A00000AJsWFUA1;46.618.597;1592015712.86;50.982.442;0.0;4.343.595;3.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W6A00000AJt2OUAT;51.155.523;850868022.93;55.675.344;0.0;4.496.818;4.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;500.0;a0W6A00000AJzUBUA1;294.704.609;34751816.05;562.551.038;11.524.946.762;260.178.839;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;500.0;a0W6A00000AJztjUAD;71.908.019;456659908.12;85.908.896;3.029.046.958;13.900.918;4.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;5000.0;a0W6A00000AK0bWUAT;296.291.897;378748407.86;536.553.546;10.465.250.255;233.347.745;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000AK1QGUA1;-205.731.616;1637048216.41;-54.236.243;4.705.469.455;15.467.758;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000ARIOcUAP;48.577.639;34753608.32;5.247.201;2.811.283.946;3.875.545;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000ARK9YUAX;-873.086;118052609.05;152.086.954;3.873.519.988;152.973.395;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W6A00000ASOMfUAP;394.144.272;689536449.63;608.059.115;13.369.102.339;205.803.227;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000ASOgVUAX;35.188.797;139154026.81;64.910.866;2.761.957.572;29.617.847;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX-100;15%;Renda Variável;10000.0;a0W6A00000ASOvQUAX;194.718.697;225880362.24;379.376.315;10.365.384.016;181.130.665;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000ASP9NUAX;79.235.372;158074599.6;123.567.635;0.0;43.983.757;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A00000ATTp5UAH;29.545.443;731282090.43;45.194.048;2.417.365.918;15.602.508;3.0;Fundo Multimercado
Não;15%;Renda Variável;5000.0;a0W6A00000AYsxUUAT;95.322.572;638862889.94;199.007.152;9.719.051.709;102.705.564;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;5000.0;a0W6A00000AYtYZUA1;169.362.527;334243911.77;248.856.439;5.083.834.391;78.170.005;5.0;Fundo Multimercado
20% sobre o que exceder a 100% do IPCA + 6%;Come Cotas;Renda Fixa;5000.0;a0W6A00000AYtxaUAD;217.076.139;34594205.53;332.904.854;6.807.444.112;113.367.771;5.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AYyGSUA1;75.251.696;1654594910.88;107.437.231;3.213.552.232;31.945.143;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W6A00000AZ0GHUA1;671.826.142;24008689.87;590.065.601;4.277.701.979;-7.661.345;4.0;Fundo Cambial
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000AZ1V0UAL;294.030.506;89782715.25;331.820.693;0.0;36.710.779;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W6A00000Aa3O2UAJ;165.877.563;61741304.59;395.733.238;10.009.057.851;226.105.099;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000Aa4IiUAJ;215.801.643;42522786.87;391.470.988;9.283.953.228;171.958.454;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5;15%;Renda Variável;50000.0;a0W6A00000Aa9KwUAJ;435.415.664;276890267.81;621.672.202;12.325.971.778;178.485.021;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000AcB3UUAV;7.369.192;994723266.52;36.132.011;3.718.310.894;28.741.639;4.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;10000.0;a0W6A00000AcB8eUAF;309.428.777;332768756.17;56.652.665;10.503.925.657;249.381.298;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;Come Cotas;Renda Fixa;10000.0;a0W6A00000AcuL0UAJ;240.205.662;454157741.06;34.029.447;8.224.439.872;97.741.013;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A00000AcuYxUAJ;453.170.205;362556993.62;684.132.934;0.0;220.949.936;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AcujrUAB;164.532.678;285760109.82;197.413.391;2.848.597.663;32.348.475;5.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;3000.0;a0W6A00000Au1DBUAZ;36.740.826;166268298.05;41.779.620.000.000.000;2.245.731.202;5.020.349;2.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;3000.0;a0W6A00000Au2GSUAZ;38.401.621;607580555.55;44.483.624;2.293.522.369;6.058.736;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;3000.0;a0W6A00000Au4EOUAZ;42.739.295;460607131.81;46.652.255;2.474.727.327;3.896.307;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IPCA + 5%;Come Cotas;Renda Fixa;100.0;a0W6A00000Au4QWUAZ;81.559.541;179455838.13;93.308.714;2.443.552.772;11.654.122;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;100.0;a0W6A00000Au4UiUAJ;55.859.262;35764890.85;58.752.094;0.0;2.876.762;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W6A00000Awa5YUAR;38.342.582;5111461.15;54.220.002;0.0;15.816.775;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBX;15%;Renda Variável;1000.0;a0W6A00000AwaR2UAJ;211.837.451;97373447.73;376.360.876;5.629.294.652;161.110.501;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A00000B1R9qUAF;-20.596.353;396101238.27;-32.520.604;2.862.925.162;-11.948.861;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do IBRX 100;15%;Renda Variável;5000.0;a0W6A00000BDZuYUAX;-142.995.394;727050271.86;17.000.716;0.0;162.317.171;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;15%;Renda Variável;5000.0;a0W6A00000BDaCYUA1;58.327.809;230781289.81;105.366.497;0.0;46.765.913;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;15%;Renda Variável;5000.0;a0W6A00000BDcCFUA1;-275.563.465;3598759613.23;77.451.047;16.623.204.548;36.301.796.000.000.000;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A00000BIy6eUAD;159.309.426;2334701336.09;412.012.252;0.0;248.740.161;5.0;Fundo de Ações
